id;x;y;z;time
0x6733;2261;755;0;2019-05-16 10:24:39.081
0x6733;2113;602;0;2019-05-16 10:24:39.262
0x6733;1902;1021;0;2019-05-16 10:24:39.454
0x6733;2066;978;0;2019-05-16 10:24:39.818
0x6733;2044;919;0;2019-05-16 10:24:39.998
0x6733;2010;1131;0;2019-05-16 10:24:40.188
0x6733;1946;928;0;2019-05-16 10:24:40.368
0x6733;2141;890;0;2019-05-16 10:24:40.548
0x6733;1995;892;0;2019-05-16 10:24:40.728
0x6733;1987;936;0;2019-05-16 10:24:41.117
0x6733;1978;910;0;2019-05-16 10:24:41.297
0x6733;1963;935;0;2019-05-16 10:24:41.477
0x6733;2056;882;0;2019-05-16 10:24:41.657
0x6733;2103;890;0;2019-05-16 10:24:41.837
0x6733;2011;920;0;2019-05-16 10:24:42.755
0x6733;2124;934;0;2019-05-16 10:24:42.935
0x6733;2134;907;0;2019-05-16 10:24:43.489
0x6733;2172;928;0;2019-05-16 10:24:43.668
0x6733;2023;924;0;2019-05-16 10:24:44.043
0x6733;2120;918;0;2019-05-16 10:24:44.227
0x6733;2138;872;0;2019-05-16 10:24:44.403
0x6733;2032;934;0;2019-05-16 10:24:44.585
0x6733;2143;901;0;2019-05-16 10:24:44.766
0x6733;1991;893;0;2019-05-16 10:24:44.952
0x6733;2021;908;0;2019-05-16 10:24:45.132
0x6733;2135;943;0;2019-05-16 10:24:45.313
0x6733;1971;975;0;2019-05-16 10:24:45.496
0x6733;2179;933;0;2019-05-16 10:24:45.684
0x6733;1965;916;0;2019-05-16 10:24:45.868
0x6733;2137;905;0;2019-05-16 10:24:46.049
0x6733;2051;989;0;2019-05-16 10:24:46.233
0x6733;2118;892;0;2019-05-16 10:24:46.415
0x6733;2117;924;0;2019-05-16 10:24:46.595
0x6733;1985;879;0;2019-05-16 10:24:46.959
0x6733;2150;912;0;2019-05-16 10:24:47.147
0x6733;1985;921;0;2019-05-16 10:24:47.333
0x6733;2061;895;0;2019-05-16 10:24:47.508
0x6733;2089;883;0;2019-05-16 10:24:47.699
0x6733;1977;911;0;2019-05-16 10:24:47.877
0x6733;1947;934;0;2019-05-16 10:24:48.249
0x6733;2123;938;0;2019-05-16 10:24:48.427
0x6733;2052;1067;0;2019-05-16 10:24:48.797
0x6733;2117;897;0;2019-05-16 10:24:48.974
0x6733;2112;952;0;2019-05-16 10:24:49.158
0x6733;2115;940;0;2019-05-16 10:24:49.336
0x6733;1942;948;0;2019-05-16 10:24:49.516
0x6733;2119;959;0;2019-05-16 10:24:49.888
0x6733;2114;939;0;2019-05-16 10:24:50.067
0x6733;1919;958;0;2019-05-16 10:24:50.261
0x6733;2107;944;0;2019-05-16 10:24:50.440
0x6733;2111;960;0;2019-05-16 10:24:50.621
0x6733;2121;938;0;2019-05-16 10:24:50.813
0x6733;2121;949;0;2019-05-16 10:24:50.993
0x6733;2113;964;0;2019-05-16 10:24:51.173
0x6733;1923;938;0;2019-05-16 10:24:51.542
0x6733;2095;962;0;2019-05-16 10:24:51.725
0x6733;2088;922;0;2019-05-16 10:24:52.110
0x6733;1899;910;0;2019-05-16 10:24:52.290
0x6733;2109;939;0;2019-05-16 10:24:52.470
0x6733;1943;903;0;2019-05-16 10:24:52.650
0x6733;1942;909;0;2019-05-16 10:24:53.020
0x6733;1886;920;0;2019-05-16 10:24:53.203
0x6733;2122;937;0;2019-05-16 10:24:53.584
0x6733;2099;947;0;2019-05-16 10:24:53.748
0x6733;2117;953;0;2019-05-16 10:24:54.116
0x6733;2136;987;0;2019-05-16 10:24:54.303
0x6733;1812;1084;0;2019-05-16 10:24:54.473
0x6733;2155;936;0;2019-05-16 10:24:54.662
0x6733;1998;1076;0;2019-05-16 10:24:54.843
0x6733;1942;1047;0;2019-05-16 10:24:55.035
0x6733;2009;1084;0;2019-05-16 10:24:55.209
0x6733;2022;1019;0;2019-05-16 10:24:55.397
0x6733;2057;1040;0;2019-05-16 10:24:55.580
0x6733;2031;920;0;2019-05-16 10:24:55.763
0x6733;2037;1140;0;2019-05-16 10:24:55.948
0x6733;1680;1091;0;2019-05-16 10:24:56.130
0x6733;2008;1061;0;2019-05-16 10:24:56.304
0x6733;1882;951;0;2019-05-16 10:24:56.487
0x6733;2098;959;0;2019-05-16 10:24:56.667
0x6733;2144;912;0;2019-05-16 10:24:56.854
0x6733;2048;949;0;2019-05-16 10:24:57.040
0x6733;1943;940;0;2019-05-16 10:24:57.221
0x6733;2042;883;0;2019-05-16 10:24:57.400
0x6733;2116;989;0;2019-05-16 10:24:57.584
0x6733;2106;961;0;2019-05-16 10:24:57.769
0x6733;1925;967;0;2019-05-16 10:24:57.947
