;time;id;x;y;height;cam
323;1557995079414;27978;483;204;1240;D8:80:39:D8:42:9E
324;1557995079711;27966;258;177;1253;D8:80:39:D8:42:9E
325;1557995079711;27978;482;204;1240;D8:80:39:D8:42:9E
326;1557995079911;27966;259;177;1253;D8:80:39:D8:42:9E
327;1557995079911;27978;481;205;1240;D8:80:39:D8:42:9E
328;1557995080208;27966;260;177;1238;D8:80:39:D8:42:9E
329;1557995080208;27978;481;204;1240;D8:80:39:D8:42:9E
330;1557995080409;27966;262;177;1231;D8:80:39:D8:42:9E
331;1557995080409;27978;482;203;1240;D8:80:39:D8:42:9E
332;1557995080707;27966;262;177;1223;D8:80:39:D8:42:9E
333;1557995080707;27979;481;204;1240;D8:80:39:D8:42:9E
334;1557995080907;27966;263;178;1215;D8:80:39:D8:42:9E
335;1557995080907;27979;482;204;1240;D8:80:39:D8:42:9E
336;1557995081219;27966;264;180;1215;D8:80:39:D8:42:9E
337;1557995081219;27979;482;203;1232;D8:80:39:D8:42:9E
338;1557995081410;27966;265;180;1207;D8:80:39:D8:42:9E
339;1557995081410;27979;483;204;1232;D8:80:39:D8:42:9E
340;1557995081708;27966;265;179;1208;D8:80:39:D8:42:9E
341;1557995081708;27979;483;203;1240;D8:80:39:D8:42:9E
342;1557995081907;27966;265;179;1208;D8:80:39:D8:42:9E
343;1557995081907;27979;483;203;1240;D8:80:39:D8:42:9E
344;1557995082258;27966;264;178;1192;D8:80:39:D8:42:9E
345;1557995082258;27979;483;202;1241;D8:80:39:D8:42:9E
346;1557995082414;27966;265;178;1200;D8:80:39:D8:42:9E
347;1557995082414;27979;483;202;1241;D8:80:39:D8:42:9E
348;1557995082725;27966;265;177;1216;D8:80:39:D8:42:9E
349;1557995082725;27979;484;203;1233;D8:80:39:D8:42:9E
350;1557995082914;27966;265;177;1216;D8:80:39:D8:42:9E
351;1557995082914;27979;484;203;1225;D8:80:39:D8:42:9E
352;1557995083238;27966;264;177;1192;D8:80:39:D8:42:9E
353;1557995083238;27979;483;203;1233;D8:80:39:D8:42:9E
354;1557995083409;27966;264;177;1177;D8:80:39:D8:42:9E
355;1557995083409;27979;484;203;1225;D8:80:39:D8:42:9E
356;1557995083714;27966;265;177;1200;D8:80:39:D8:42:9E
357;1557995083714;27979;485;204;1209;D8:80:39:D8:42:9E
358;1557995084012;27966;265;177;1208;D8:80:39:D8:42:9E
359;1557995084012;27979;485;204;1209;D8:80:39:D8:42:9E
360;1557995084213;27966;265;177;1200;D8:80:39:D8:42:9E
361;1557995084213;27979;485;204;1209;D8:80:39:D8:42:9E
362;1557995084414;27966;265;177;1200;D8:80:39:D8:42:9E
363;1557995084414;27979;484;203;1217;D8:80:39:D8:42:9E
364;1557995084711;27966;264;177;1192;D8:80:39:D8:42:9E
365;1557995084711;27979;484;204;1209;D8:80:39:D8:42:9E
366;1557995084910;27966;265;176;1200;D8:80:39:D8:42:9E
367;1557995084910;27979;484;203;1217;D8:80:39:D8:42:9E
368;1557995085222;27966;265;177;1208;D8:80:39:D8:42:9E
369;1557995085222;27979;483;203;1240;D8:80:39:D8:42:9E
370;1557995085424;27966;264;177;1192;D8:80:39:D8:42:9E
371;1557995085424;27979;484;203;1233;D8:80:39:D8:42:9E
372;1557995085705;27966;265;178;1200;D8:80:39:D8:42:9E
373;1557995085705;27979;484;203;1225;D8:80:39:D8:42:9E
374;1557995085907;27966;265;178;1216;D8:80:39:D8:42:9E
375;1557995085907;27979;484;203;1225;D8:80:39:D8:42:9E
376;1557995086214;27966;265;178;1208;D8:80:39:D8:42:9E
377;1557995086214;27979;483;203;1232;D8:80:39:D8:42:9E
378;1557995086415;27966;265;177;1208;D8:80:39:D8:42:9E
